,Date,0
0,,305.61902
1,,306.31183
2,,303.0
3,,296.26385
4,,294.22083
5,,298.9124
6,,295.80524
7,,309.9295
8,,318.5091
9,,302.77966
10,,292.59564
11,,280.49884
12,,277.70447
13,,278.76746
14,,281.4754
15,,287.2425
16,,284.68298
17,,287.07135
18,,291.28705
19,,280.42273
20,,272.98914
21,,268.89066
22,,271.52698
23,,272.87897
24,,268.36737
25,,260.3827
26,,266.96466
27,,272.61652
28,,277.91315
29,,278.41473
30,,286.3097
31,,286.44293
32,,290.8553
33,,269.2397
34,,273.54596
35,,276.00934
36,,271.9787
37,,276.11285
38,,268.92706
39,,268.97784
40,,266.56885
41,,270.27008
42,,271.88715
43,,272.22418
44,,266.6952
45,,262.64435
46,,261.93762
47,,254.51974
48,,242.65425
49,,240.99666
50,,240.91605
51,,236.78282
52,,246.27483
53,,254.05519
54,,254.23207
55,,251.70993
56,,246.30528
57,,241.42328
58,,239.5422
59,,229.77347
60,,231.42761
61,,230.36293
62,,229.08896
63,,217.87952
64,,206.02641
65,,204.62071
66,,198.99513
67,,198.5977
68,,196.0657
69,,191.39056
70,,190.14505
71,,189.44643
72,,186.9488
73,,183.26433
74,,189.69516
75,,198.74268
76,,208.84027
77,,207.85127
78,,213.30151
79,,218.84166
80,,217.13394
81,,212.51292
82,,213.85176
83,,222.35094
84,,228.58545
85,,225.4475
86,,222.43044
87,,219.82832
88,,223.43391
89,,221.95132
90,,221.37161
91,,221.06837
92,,222.89713
93,,229.33687
94,,226.7075
95,,238.88995
96,,233.67125
97,,230.57872
98,,229.49106
99,,237.2975
100,,238.79335
101,,243.4518
102,,251.63405
103,,251.37984
104,,256.14087
105,,253.66736
106,,257.36407
107,,257.43732
108,,257.98322
109,,263.38275
110,,233.85052
111,,227.91171
112,,232.48398
113,,238.64803
114,,242.54733
115,,237.9966
116,,232.9987
117,,228.93669
118,,230.2673
119,,230.02966
120,,236.37625
121,,235.32285
122,,230.91571
123,,231.9849
124,,224.80487
125,,217.68942
126,,218.67874
127,,225.25604
128,,226.26355
129,,221.34787
130,,222.29347
131,,215.80565
132,,213.85738
133,,214.9043
134,,214.28148
135,,220.52324
136,,228.19427
137,,225.068
138,,223.31703
139,,226.50865
140,,226.9979
141,,230.99208
142,,232.85915
143,,243.58395
144,,247.95908
145,,245.99507
146,,243.8146
147,,243.02713
148,,244.09483
149,,246.07568
150,,242.76141
151,,240.915
152,,232.43773
153,,226.4396
154,,238.0494
155,,243.7664
156,,240.95805
157,,243.06226
158,,242.6124
159,,233.20035
160,,231.87088
161,,234.59071
162,,239.23262
163,,243.67818
164,,245.11887
165,,248.59451
166,,253.95612
167,,257.5052
168,,259.13712
169,,261.91968
170,,258.44183
171,,254.83145
172,,254.48508
173,,254.02794
174,,303.04657
175,,319.50903
176,,331.50226
177,,319.472
178,,314.729
179,,314.40363
180,,313.72382
181,,316.32434
182,,318.66644
183,,322.229
184,,335.06854
185,,335.2975
186,,345.4223
